POSTCODES,Zone,Minimum,5mi,10mi,15mi
 SE12,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE13,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE14,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE15,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE15,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE16,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE17,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE18,Zone 1,8.95 ,6.95 ,11.95 ,16.95 
 SE19,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SE2,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE20,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SE21,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SE22,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SE23,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SE24,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SE25,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SE26,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SE27,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SE28,Zone 1,8.95 ,6.95 ,11.95 ,16.95 
 SE3,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE4,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE5,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SE6,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE7,Zone 1,8.95 ,6.95 ,11.95 ,16.95 
 SE8,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SE9,Zone 2,14.50 ,6.95 ,11.95 ,16.95 
 SW1,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW1A,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW1E,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW1H,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW1P,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW1V,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW1W,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW1X,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW1Y,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW10,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 SW11,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW12,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW13,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 SW14,Zone 5,29.95 ,6.95 ,11.95 ,16.95 
 SW15,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 SW16,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 SW17,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 SW18,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 SW19,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 SW20,Zone 5,29.95 ,6.95 ,11.95 ,16.95 
 SW2,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW3,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW4,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW5,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 SW6,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 SW7,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW8,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 SW9,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 TW1,Unknown,31.45 ,6.95 ,11.95 ,16.95 
 TW10,Unknown,31.45 ,6.95 ,11.95 ,16.95 
 TW13,Unknown,35.14 ,6.95 ,11.95 ,16.95 
 TW14,Unknown,36.27 ,6.95 ,11.95 ,16.95 
 TW15,Unknown,37.52 ,6.95 ,11.95 ,16.95 
 TW18,Unknown,41.31 ,6.95 ,11.95 ,16.95 
 TW19,Unknown,40.05 ,6.95 ,11.95 ,16.95 
 TW3,Unknown,31.45 ,6.95 ,11.95 ,16.95 
 TW4,Unknown,34.02 ,6.95 ,11.95 ,16.95 
 TW5,Unknown,34.02 ,6.95 ,11.95 ,16.95 
 TW6,Unknown,38.79 ,6.95 ,11.95 ,16.95 
 TW7,Unknown,31.45 ,6.95 ,11.95 ,16.95 
 TW8,Unknown,31.45 ,6.95 ,11.95 ,16.95 
 TW9,Unknown,31.45 ,6.95 ,11.95 ,16.95 
 UB1,Unknown,32.89 ,6.95 ,11.95 ,16.95 
 UB2,Unknown,32.89 ,6.95 ,11.95 ,16.95 
 UB3,Unknown,36.27 ,6.95 ,11.95 ,16.95 
 UB4,Unknown,35.14 ,6.95 ,11.95 ,16.95 
 UB5,Unknown,32.89 ,6.95 ,11.95 ,16.95 
 UB6,Unknown,31.45 ,6.95 ,11.95 ,16.95 
 UB7,Unknown,38.79 ,6.95 ,11.95 ,16.95 
 W1,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1A,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1B,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1C,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1D,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1F,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1G,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1H,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1J,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1K,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1S,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1T,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1U,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W1W,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W10,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 W11,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 W12,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 W13,Zone 5,29.95 ,6.95 ,11.95 ,16.95 
